,series_description,country,year,value,source,nature,age,location,sex
1112,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Qatar,2013,136,Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.,CA,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
1113,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Réunion,2010,201,Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.,CA,15+,ALLAREA,1
1114,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Réunion,2010,130,Calculated by UNSD based on available country data from the 2009-2010 Time Use Survey to apply ICATUS.,CA,15+,ALLAREA,0
1115,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,182,INSSE based on Time Use of the Romanians - 2012,C,65+,URBAN,0
1116,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,132,INSSE based on Time Use of the Romanians - 2012,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
1117,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,263,INSSE based on Time Use of the Romanians - 2012,C,65+,URBAN,1
1118,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,164,INSSE based on Time Use of the Romanians - 2012,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
1119,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,333,INSSE based on Time Use of the Romanians - 2012,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
1120,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,354,INSSE based on Time Use of the Romanians - 2012,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
1121,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,110,INSSE based on Time Use of the Romanians - 2012,C,10+,URBAN,0
1122,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,229,INSSE based on Time Use of the Romanians - 2012,C,10+,URBAN,1
1123,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,231,INSSE based on Time Use of the Romanians - 2012,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
1124,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,159,INSSE based on Time Use of the Romanians - 2012,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
1125,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,212,INSSE based on Time Use of the Romanians - 2012,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
1126,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,310,INSSE based on Time Use of the Romanians - 2012,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
1127,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,166,INSSE based on Time Use of the Romanians - 2012,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
1128,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,144,INSSE based on Time Use of the Romanians - 2012,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
1129,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,292,INSSE based on Time Use of the Romanians - 2012,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
1130,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,111,INSSE based on Time Use of the Romanians - 2012,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
1131,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,262,INSSE based on Time Use of the Romanians - 2012,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
1132,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,139,INSSE based on Time Use of the Romanians - 2012,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
1133,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,72,INSSE based on Time Use of the Romanians - 2012,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
1134,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,195,INSSE based on Time Use of the Romanians - 2012,C,65+,ALLAREA,0
1135,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,281,INSSE based on Time Use of the Romanians - 2012,C,65+,ALLAREA,1
1136,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,181,INSSE based on Time Use of the Romanians - 2012,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
1137,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,278,INSSE based on Time Use of the Romanians - 2012,C,10+,RURAL,1
1138,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,96,INSSE based on Time Use of the Romanians - 2012,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
1139,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,327,INSSE based on Time Use of the Romanians - 2012,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
1140,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,125,INSSE based on Time Use of the Romanians - 2012,C,10+,ALLAREA,0
1141,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,251,INSSE based on Time Use of the Romanians - 2012,C,10+,ALLAREA,1
1142,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,147,INSSE based on Time Use of the Romanians - 2012,C,10+,RURAL,0
1143,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,112,INSSE based on Time Use of the Romanians - 2012,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
1144,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,205,INSSE based on Time Use of the Romanians - 2012,C,65+,RURAL,0
1145,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,126,INSSE based on Time Use of the Romanians - 2012,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
1146,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,96,INSSE based on Time Use of the Romanians - 2012,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
1147,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,269,INSSE based on Time Use of the Romanians - 2012,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
1148,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,50,INSSE based on Time Use of the Romanians - 2012,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
1149,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,295,INSSE based on Time Use of the Romanians - 2012,C,65+,RURAL,1
1150,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Romania,2012,307,INSSE based on Time Use of the Romanians - 2012,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
1151,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Russian Federation,2014,202,Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.,CA,15+,ALLAREA,1
1152,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Russian Federation,2014,95,Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.,CA,15+,ALLAREA,0
1153,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Russian Federation,2014,91,Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.,CA,15+,URBAN,0
1154,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Russian Federation,2014,197,Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.,CA,15+,URBAN,1
1155,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Russian Federation,2014,104,Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.,CA,15+,RURAL,0
1156,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Russian Federation,2014,219,Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.,CA,15+,RURAL,1
1157,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,147,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
1158,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,297,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
1159,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,62,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
1160,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,70,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
1161,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,179,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
1162,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,296,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
1163,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,98,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,15+,URBAN,0
1164,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,203,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,15+,URBAN,1
1165,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,105,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,15+,RURAL,0
1166,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,101,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
1167,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,250,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
1168,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,132,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
1169,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,146,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,65+,URBAN,0
1170,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,233,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,65+,URBAN,1
1171,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,116,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
1172,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,83,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
1173,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,229,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
1174,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,122,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,65+,RURAL,0
1175,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,226,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,65+,RURAL,1
1176,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,301,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
1177,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,67,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
1178,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,90,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
1179,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,221,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
1180,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,101,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,15+,ALLAREA,0
1181,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,218,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,15+,ALLAREA,1
1182,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,61,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
1183,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,89,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
1184,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,197,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
1185,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,147,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
1186,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,296,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
1187,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,147,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
1188,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,136,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,65+,ALLAREA,0
1189,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,60,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
1190,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,230,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,65+,ALLAREA,1
1191,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,243,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,15+,RURAL,1
1192,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Serbia,2015,73,Statistical Office of the Republic of Serbia based on Time Use Survey in Serbia,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
1193,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Slovenia,2001,146,Statistical Office of the Republic of Slovenia based on Time Use Survey,C,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,0
1194,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Slovenia,2001,263,Statistical Office of the Republic of Slovenia based on Time Use Survey,C,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,1
1195,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",South Africa,2010,195,Calculated by UNSD based on available country data from the Time Use Survey 2010 to apply ICATUS.,CA,10+,ALLAREA,1
1196,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",South Africa,2010,88,Calculated by UNSD based on available country data from the Time Use Survey 2010 to apply ICATUS.,CA,10+,ALLAREA,0
1197,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Spain,2010,100,Calculated by UNSD based on available country data from the Time use survey 2009-2010 to apply ICATUS.,CA,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,0
1198,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Spain,2010,230,Calculated by UNSD based on available country data from the Time use survey 2009-2010 to apply ICATUS.,CA,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",ALLAREA,1
1199,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,196,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,15+,ALLAREA,1
1200,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,160,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,15+,ALLAREA,0
1201,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,187,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
1202,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,254,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,65+,ALLAREA,1
1203,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,218,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,65+,ALLAREA,0
1204,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,70,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
1205,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,219,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
1206,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,180,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
1207,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,146,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
1208,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,162,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
1209,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,199,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
1210,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,153,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
1211,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,189,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
1212,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Sweden,2011,117,Statistics Sweden based on The Swedish Time Use Survey 2010/11,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
1213,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,134,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
1214,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,213,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
1215,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,147,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,65+,URBAN,0
1216,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,126,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,15+,URBAN,0
1217,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,215,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
1218,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,186,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
1219,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,140,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
1220,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,242,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
1221,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,231,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
1222,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,133,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
1223,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,127,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
1224,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,90,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
1225,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,213,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,65+,RURAL,1
1226,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,146,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,65+,RURAL,0
1227,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,112,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
1228,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,143,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
1229,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,218,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
1230,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,88,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
1231,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,167,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
1232,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Switzerland,2016,200,Federal Statistical Office FSO based on Swiss Labour Force Survey - Unpaid Work Module,C,15+,ALLAREA,1
